Week,Team,passer,passer_id
1,NE,M.Jones,00-0036972
1,MIA,T.Tagovailoa,00-0036212
1,NYJ,Z.Wilson,00-0037013
1,BUF,J.Allen,00-0034857
1,BAL,L.Jackson,00-0034796
1,CIN,J.Burrow,00-0036442
1,CLE,D.Watson,00-0033537
1,PIT,K.Pickett,00-0038102
1,JAX,T.Lawrence,00-0036971
1,TEN,R.Tannehill,00-0029701
1,IND,A.Richardson,00-0039164
1,HOU,C.Stroud,00-0039163
1,KC,P.Mahomes,00-0033873
1,LAC,J.Herbert,00-0036355
1,DEN,R.Wilson,00-0029263
1,LV,J.Garoppolo,00-0031345
1,SF,B.Purdy,00-0037834
1,LA,M.Stafford,00-0026498
1,ARI,J.Dobbs,00-0033949
1,SEA,G.Smith,00-0030565
1,TB,B.Mayfield,00-0034855
1,CAR,B.Young,00-0039150
1,NO,D.Carr,00-0031280
1,ATL,D.Ridder,00-0038122
1,CHI,J.Fields,00-0036945
1,GB,J.Love,00-0036264
1,DET,J.Goff,00-0033106
1,MIN,K.Cousins,00-0029604
1,NYG,D.Jones,00-0035710
1,PHI,J.Hurts,00-0036389
1,DAL,D.Prescott,00-0033077
1,WAS,S.Howell,00-0037077
